,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
137,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686781.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,USC,22.1,2024,none,,0.77,5.2,0.25,15.1,0.859,5,0.672,25,0.094,76.2,0.516,79.4,0.5,0.232,2.09,,0.176,0.21,0.163,67,0.234,Brenden Rice,67,87,0.489,0.401,,,,,,,,,,,,,,,,,0.217,21.4,,4,6.1,0.507,9.9,0.62,33.3,0.951,14.9,0.43,20.7,0.528,34.1,0.803,11.3,0.142,13,0.149,9.3,0.142,15.5,0.135,19.8,0.213,35.7,0.674,,,,,,,0,,,
140,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432773.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,21.6,2024,none,,0.443,5.7,0.344,13.9,0.703,6.18,0.459,53.8,0.625,59.6,0.063,75.6,0.281,0.134,1.93,,0.014,0.18,0.142,66,0.376,Brian Thomas Jr.,78,96,0.773,0.584,,,,,,,,,,,,,,,,,0.594,19.9,,3,10.7,0.662,10.9,0.655,6.3,0.535,9.6,0.254,9.6,0.246,21.7,0.57,23.8,0.617,25.1,0.504,38.6,0.773,,0,,0,,0,,,,,,,0,,,
143,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430034.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/1200px-South_Carolina_Gamecocks_logo.svg.png,South Carolina,23.2,2024,none,,0.902,6.4,0.563,13.8,0.656,7.89,0.328,47.6,0.469,86,0.875,82.8,0.609,0.056,1.75,,0.014,0.18,0.092,59,0.333,Xavier Legette,75,86,0.461,0.088,,,,,,,,,,,,,,,,,0.058,22.5,,5,3.7,0.415,3.3,0.373,9.1,0.599,6.7,0.204,10.1,0.261,0,0,4.5,0.071,2.8,0.057,5.3,0.085,6.4,0.056,4.9,0.034,13,0.135,25.3,0.552,37.6,0.862,33.3,0.69,0,,,
134,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4613104.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/1200px-WKU_Athletics_logo.svg.png,Western Kentucky,22.2,2024,none,,0.361,8.6,0.922,5.5,0,5.27,0.59,23.5,0.063,81.4,0.781,83,0.625,0.331,2.21,,0.732,0.27,0.071,57,0.234,Malachi Corley,67,100,0.95,0.372,,,,,,,,,,,,,,,,,0.196,21.5,,4,3.9,0.437,4.4,0.437,0,0,15.2,0.444,11.4,0.289,11.1,0.268,25.2,0.681,26.3,0.567,25.6,0.461,23,0.472,25.5,0.416,28.9,0.483,,,,,,,0,,,
171,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4635009.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/UCLA_Bruins_logo.svg/2560px-UCLA_Bruins_logo.svg.png,UCLA,21.6,2024,none,,0.311,5.2,0.3,16,0.905,5.14,0.6,50,0.508,60.9,0.1,64.1,0.02,0.03,1.6,,0.11,0.21,0.057,55,0.05,J. Michael Sturdivant,39,42,0.05,0.62,,,,,,,,,,,,,,,,,0.4,21,,3,0,0,0,0,0,0,22.3,0.725,23.3,0.613,30.4,0.739,15.1,0.262,20,0.298,16.7,0.248,,0,,0,,0,,,,,,,0,,,
139,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430637.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,Washington,22.1,2024,none,,0.574,5.2,0.25,14,0.719,5,0.656,57.1,0.75,75.6,0.5,77.8,0.406,0.155,1.95,,0.07,0.19,0.021,50,0.532,Ja'Lynn Polk,87,63,0.191,0.401,,,,,,,,,,,,,,,,,0.217,21.4,,4,10.8,0.683,9.9,0.62,11.1,0.662,8.2,0.225,16.9,0.451,25.6,0.634,11,0.128,14.5,0.177,18.8,0.319,18.4,0.236,22.5,0.281,23.7,0.292,,,,,,,0,,,
121,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4567750.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,22.5,2025,none,,0.689,6,0.438,9,0.125,4.1,0.82,40,0.281,69.8,0.359,72.9,0.172,0.69,2.66,,0.521,0.25,#N/A,,#N/A,Emeka Egbuka,,,#N/A,0.62,,,,,,,,,,,,,,,,,0.594,19.9,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,,,
124,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686612.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,,2025,none,,0.607,6.7,0.672,13.2,0.641,5.4,0.541,35.7,0.219,82.7,0.844,89.2,0.875,0.599,2.54,,0.521,0.25,#N/A,,#N/A,Tre Harris,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,,,4,0.6,0.254,1.3,0.289,0,0,16.1,0.479,18.2,0.472,17.4,0.493,25.6,0.702,29.2,0.667,40,0.794,22.8,0.427,26.5,0.494,30.8,0.506,,,,,,,0,,,
120,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4608810.png,https://upload.wikimedia.org/wikipedia/commons/f/f8/Oregon_Ducks_logo.svg,Oregon,,2025,none,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.761,2.83,,0.901,0.3,#N/A,,#N/A,Tez Johnson,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,,,
130,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4597703.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/1200px-Colorado_State_Rams_logo.svg.png,Colorado State,,2025,none,,0.77,6,0.438,10.2,0.203,4.57,0.754,57.1,0.75,76.3,0.563,86.9,0.813,0.493,2.39,,0.521,0.25,#N/A,,#N/A,Tory Horton,,,#N/A,,,,,,,,,,,,,,,,,,#N/A,,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,,,
file:///C:/Users/Kwabena/Downloads/yughoih.html,,,,,,,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
